026,동부화재해상보험,서울 강남구 대치4동 891-10 동부금융센터 11층,손해 보험업,4820,5201,서울
420,이녹스,충남 아산시 둔포면 석곡리 1352,그외 기타 전자부품 제조업,3500,5200,충남
411,더케이손해보험,서울 종로구 인의동 112-1 동원회관빌딩 11층,손해 보험업,3550,5165,서울
211,OCI,서울 중구 소공동 소공로 94 OCI빌딩,석유화학계 기초화학물질 제조업,3900,5078,서울
635,한국네슬레,충북 청주시 흥덕구 송정동 1-8,커피 가공업,3200,4943,충북
234,동국제강,서울 중구 수하동 66 페럼타워,제강업,3850,4803,서울
200,JW중외제약,서울 서초구 서초동,완제 의약품 제조업,3950,4789,서울
351,코웨이,충남 공주시 유구읍 유구리 658,액체 여과기 제조업,3650,4776,충남
043,서울보증보험,서울 종로구 연지동 136-74 보증보험빌딩,보증 보험업,4500,4738,서울
097,한화,서울 중구 장교동 1 한화빌딩 24층,화약 및 불꽃제품 제조업,4150,4704,서울
535,서울대학교병원,서울특별시 종로구 대학로 101(연건동 28번지),-,3366,4704,서울
316,대우전자부품,전북 정읍시 망제동,자동차용 전기장치 제조업,3700,4657,전북
247,CJ프레시웨이,서울 중구 쌍림동 782-3 CJ빌딩 인사팀,기타 가공식품 도매업,3800,4622,서울
363,니프코코리아,충남 천안시 서북구 차암동 14-4,기계장비 조립용 플라스틱제품 제조업,3600,4541,충남
677,한전KPS,경기 성남시 분당구 금곡동 196,일반전기 공사업,3155,4500,경기
414,GS리테일,서울 영등포구 문래동6가 10 GS강서타워,체인화 편의점,3530,4373,서울
205,SK C&C,경기 성남시 분당구 정자동 25-1 SK u-타워,컴퓨터시스템 통합 자문 및 구축 서비스업,3940,4344,경기
011,현대삼호중공업,전남 영암군 삼호읍 용당리 1700,강선 건조업,5300,4300,전남
102,효성굿스프링스,서울 마포구 공덕동 254-8 별정우체국연합회빌딩 15층,액체 펌프 제조업,4100,4298,서울
056,대우건설,서울 종로구 신문로1가 57 대우건설,아파트 건설업,4400,4192,서울
136,여천NCC,서울 중구 남대문로4가 45 상공회의소회관 8층,석유화학계 기초화학물질 제조업,4000,4192,서울
016,코리안리재보험,서울 종로구 수송동 80,재 보험업,5000,4177,서울
893,한국도로공사,경기 성남시 수정구 금토동 293-1,도로 및 관련시설 운영업,2778,4152,경기
117,아세아시멘트,서울 강남구 역삼2동 726 아세아타워빌딩,비금융 지주회사,4050,4043,서울
039,두산그룹,서울 중구 을지로6가,비금융 지주회사,4560,4038,서울
747,한국수자원공사,대전 대덕구 연축동 산6-2,수로 댐 및 급 · 배수시설 건설업,3001,4035,대전
421,셀트리온,인천 연수구 송도동 13-6,생물학적 제제 제조업,3500,4027,인천
636,자화전자,충북 청원군 북이면 현암리 7-6,전자저항기 제조업,3200,4000,충북
